age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
60.0,9.0,0.0,1.0,1.0,8121.0,0.0,0.0,2.0,18.0,7.0,98.0,7.0,-1.0,0.0,0.0,1.0
51.0,3.0,2.0,3.0,0.0,-55.0,0.0,1.0,2.0,11.0,4.0,281.0,2.0,266.0,6.0,2.0,1.0
28.0,10.0,2.0,1.0,0.0,-1042.0,0.0,1.0,0.0,6.0,5.0,712.0,2.0,-1.0,0.0,0.0,0.0
30.0,0.0,0.0,1.0,1.0,4457.0,0.0,1.0,2.0,21.0,10.0,566.0,4.0,-1.0,0.0,0.0,0.0
31.0,10.0,2.0,1.0,1.0,2544.0,1.0,1.0,2.0,15.0,6.0,252.0,1.0,184.0,3.0,3.0,0.0
31.0,3.0,0.0,3.0,1.0,40.0,1.0,1.0,2.0,2.0,1.0,118.0,2.0,-1.0,0.0,0.0,1.0
37.0,10.0,0.0,0.0,1.0,189.0,1.0,1.0,2.0,1.0,9.0,238.0,1.0,107.0,2.0,3.0,0.0
42.0,3.0,2.0,3.0,1.0,4264.0,0.0,1.0,0.0,28.0,4.0,882.0,1.0,-1.0,0.0,0.0,1.0
60.0,0.0,1.0,1.0,1.0,-41.0,0.0,0.0,2.0,6.0,1.0,1658.0,1.0,262.0,1.0,2.0,0.0
27.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,9.0,6.0,919.0,2.0,-1.0,0.0,0.0,0.0
44.0,8.0,0.0,1.0,1.0,304.0,0.0,1.0,1.0,9.0,1.0,15.0,5.0,-1.0,0.0,0.0,1.0
32.0,0.0,0.0,1.0,1.0,3540.0,0.0,1.0,2.0,18.0,4.0,213.0,1.0,178.0,1.0,2.0,1.0
35.0,11.0,0.0,1.0,1.0,377.0,1.0,0.0,2.0,31.0,6.0,30.0,13.0,-1.0,0.0,0.0,1.0
49.0,0.0,2.0,1.0,1.0,716.0,0.0,1.0,0.0,15.0,4.0,1257.0,3.0,-1.0,0.0,0.0,0.0
39.0,4.0,2.0,2.0,1.0,109.0,0.0,1.0,0.0,6.0,4.0,699.0,3.0,-1.0,0.0,0.0,1.0
56.0,3.0,0.0,3.0,1.0,3120.0,0.0,1.0,2.0,7.0,7.0,666.0,2.0,-1.0,0.0,0.0,1.0
35.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,11.0,10.0,229.0,2.0,96.0,3.0,3.0,0.0
63.0,9.0,1.0,1.0,1.0,1490.0,1.0,1.0,2.0,8.0,5.0,506.0,1.0,-1.0,0.0,0.0,0.0
39.0,3.0,0.0,3.0,1.0,45.0,1.0,1.0,2.0,28.0,7.0,148.0,4.0,-1.0,0.0,0.0,1.0
81.0,9.0,1.0,0.0,1.0,9224.0,1.0,1.0,1.0,9.0,10.0,235.0,2.0,-1.0,0.0,0.0,1.0
36.0,7.0,0.0,2.0,1.0,106.0,0.0,1.0,2.0,29.0,6.0,171.0,13.0,-1.0,0.0,0.0,1.0
58.0,10.0,0.0,1.0,1.0,3399.0,1.0,1.0,2.0,26.0,4.0,1078.0,1.0,97.0,7.0,1.0,0.0
35.0,7.0,2.0,1.0,1.0,855.0,0.0,1.0,2.0,12.0,4.0,549.0,1.0,300.0,1.0,3.0,0.0
76.0,9.0,0.0,0.0,1.0,8919.0,1.0,1.0,2.0,28.0,0.0,231.0,1.0,-1.0,0.0,0.0,1.0
53.0,11.0,0.0,1.0,1.0,367.0,0.0,0.0,2.0,29.0,0.0,155.0,1.0,261.0,2.0,2.0,1.0
58.0,8.0,0.0,1.0,1.0,9994.0,1.0,1.0,2.0,10.0,6.0,400.0,1.0,-1.0,0.0,0.0,1.0
31.0,11.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,7.0,6.0,340.0,3.0,-1.0,0.0,0.0,1.0
